SCM																																																																						
32	5265	0	140	250	100	5	10	1																																																														
33	5266	0	141	250	100	5	10	1																																																														
34	5267	0	141	250	100	5	10	1																																																														
35	5268	0	141	250	100	5	10	1																																																														
36	5269	0	142	250	100	5	10	1																																																														
37	5270	0	142	250	100	5	10	1																																																														
38	5271	0	142	250	100	5	10	1																																																														
39	5272	0	143	250	100	5	10	1																																																														
40	5273	0	143	250	100	5	10	1																																																														
41	5274	0	143	250	100	5	10	1																																																														
42	70000	0	144	250	100	5	10	99																																																														
43	70001	0	145	250	100	5	10	99																																																														
44	70002	0	145	250	100	5	10	99																																																														
																																																																						
LGM																																																																						
129	1818	0																																																																				
130	1819	0																																																																				
131	1820	0																																																																				
132	1821	0																																																																				
133	1822	0																																																																				
134	1823	0																																																																				
135	1824	0																																																																				
136	1825	0																																																																				
137	1826	0																																																																				
138	1827	0																																																																				
139	1828	0																																																																				
140	1829	0																																																																				
141	1830	0																																																																				
142	1831	0																																																																				
143	1832	0																																																																				
144	70000	0																																																																				
145	70001	0																																																																				
146	70002	0																																																																				
																																																																						
SCM																																																																						
011																																																																						
USM																																																																						
1	5275	0	129	250	100	5	10	1																																																														
2	5276	0	129	250	100	5	10	1																																																														
3	5277	0	129	250	100	5	10	1																																																														
4	5278	0	130	250	100	5	10	1																																																														
5	5279	0	130	250	100	5	10	1																																																														
6	5280	0	130	250	100	5	10	1																																																														
7	5281	0	131	250	100	5	10	1																																																														
8	5282	0	131	250	100	5	10	1																																																														
9	5283	0	131	250	100	5	10	1																																																														
10	5284	0	132	250	100	5	10	1																																																														
11	5285	0	132	250	100	5	10	1																																																														
12	5286	0	133	250	100	5	10	1																																																														
13	5287	0	133	250	100	5	10	1																																																														
14	5288	0	133	250	100	5	10	1																																																														
15	5289	0	134	250	100	5	10	1																																																														
